title,magnitude,date_time,cdi,mmi,alert,tsunami,sig,net,nst,dmin,gap,magType,depth,latitude,longitude,location,continent,country,year,month,alert_new,magnitude_bins
"M 6.5 - 42 km W of Sola, Vanuatu",6.5,8/16/23 12:47,7,4,green,0,657,us,114,7.177,25,mww,192.955,-13.8814,167.158,"Sola, Vanuatu",Oceania,Vanuatu,2023,8,Yellow,7-Jun
"M 6.5 - 43 km S of Intipucá, El Salvador",6.5,7/19/23 0:22,8,6,yellow,0,775,us,92,0.679,40,mww,69.727,12.814,-88.1265,"Intipucá, El Salvador",North America,El Salvador,2023,7,Yellow,7-Jun
"M 6.6 - 25 km ESE of Loncopué, Argentina",6.6,7/17/23 3:05,7,5,green,0,899,us,70,1.634,28,mww,171.371,-38.1911,-70.3731,"Loncopué, Argentina",South America,Argentina,2023,7,Yellow,7-Jun
"M 7.2 - 98 km S of Sand Point, Alaska",7.2,7/16/23 6:48,6,6,green,1,860,us,173,0.907,36,mww,32.571,54.3844,-160.699,"Sand Point, Alaska",North America,United States of America,2023,7,Orange,8-Jul
M 7.3 - Alaska Peninsula,7.3,7/16/23 6:48,0,5,green,1,820,at,79,0.879451,172.8,Mi,21,54.49,-160.796,Alaska Peninsula,North America,United States of America,2023,7,Orange,8-Jul
"M 6.6 - 277 km NNE of Codrington, Antigua and Barbuda",6.6,7/10/23 20:28,5,4,green,1,802,us,95,2.454,37,mww,10,20.0196,-61.0955,"Codrington, Antigua and Barbuda",North America,Antigua and Barbuda,2023,7,Yellow,7-Jun
M 6.9 - Tonga,6.9,7/2/23 10:27,4,4,green,1,741,us,136,1.179,23,mww,229,-17.853,-174.937,Tonga,Oceania,Tonga,2023,7,Yellow,7-Jun
M 7.2 - south of the Fiji Islands,7.2,6/15/23 18:06,8,6,green,1,804,us,85,2.59,24,mww,167.404,-22.9824,-177.208,the Fiji Islands,Oceania,Fiji,2023,6,Orange,8-Jul
M 6.6 - Panama-Colombia border region,6.6,5/25/23 3:05,6,6,green,1,733,us,50,2.163,129,mww,10,8.8894,-77.1231,Panama-Colombia border region,South America,Colombia,2023,5,Yellow,7-Jun
M 7.1 - southeast of the Loyalty Islands,7.1,5/20/23 1:51,3,4,green,1,777,us,98,2.812,56,mww,35.981,-23.0622,170.456,the Loyalty Islands,Oceania,New Caledonia,2023,5,Orange,8-Jul
M 7.7 - southeast of the Loyalty Islands,7.7,5/19/23 2:57,5,4,green,1,927,us,277,3.111,15,mww,18.027,-23.2286,170.694,the Loyalty Islands,Oceania,New Caledonia,2023,5,Orange,8-Jul
"M 7.6 - 95 km WNW of Hihifo, Tonga",7.6,5/10/23 16:02,8,6,green,1,907,us,111,3.631,17,mww,210.097,-15.6002,-174.608,"Hihifo, Tonga",Oceania,Tonga,2023,5,Orange,8-Jul
M 6.6 - south of the Fiji Islands,6.6,4/28/23 3:13,0,2,green,0,670,us,52,5.123,50,mww,598.467,-25.2657,178.424,the Fiji Islands,Oceania,Fiji,2023,4,Yellow,7-Jun
"M 7.1 - 170 km SSE of Teluk Dalam, Indonesia",7.1,4/24/23 20:00,9,7,green,0,838,us,70,2.282,58,mww,15.462,-0.781,98.5339,"Teluk Dalam, Indonesia",Asia,Indonesia,2023,4,Orange,8-Jul
"M 7.1 - Kermadec Islands, New Zealand",7.1,4/24/23 0:41,8,7,green,1,777,us,126,0.708,23,mww,43.063,-30.0249,-177.897,"Kermadec Islands, New Zealand",Oceania,New Zealand,2023,4,Orange,8-Jul
M 6.7 - south of the Fiji Islands,6.7,4/18/23 4:31,0,3,green,1,691,us,166,4.719,10,mww,595.854,-22.2844,179.391,the Fiji Islands,Oceania,Fiji,2023,4,Yellow,7-Jun
"M 7.0 - 96 km N of Tuban, Indonesia",7,4/14/23 9:55,5,3,green,0,818,us,131,1.881,31,mww,594.028,-6.0255,112.033,"Tuban, Indonesia",Asia,Indonesia,2023,4,Orange,8-Jul
"M 6.5 - near the east coast of the Kamchatka Peninsula, Russia",6.5,4/3/23 3:06,7,6,yellow,1,655,us,104,0.266,30,mww,105.631,52.7772,158.484,"the Kamchatka Peninsula, Russia",Asia,Russia,2023,4,Yellow,7-Jun
"M 7.0 - New Guinea, Papua New Guinea",7,4/2/23 18:04,7,7,green,1,781,us,105,6.45,31,mww,62.603,-4.2924,143.155,"New Guinea, Papua New Guinea",Oceania,Papua New Guinea,2023,4,Orange,8-Jul
"M 6.5 - 84 km NNW of San Antonio de los Cobres, Argentina",6.5,3/22/23 16:00,4,4,green,0,656,us,97,1.622,33,mww,209.976,-23.4797,-66.5108,"San Antonio de los Cobres, Argentina",South America,Argentina,2023,3,Yellow,7-Jun
"M 6.5 - 40 km SSE of Jurm, Afghanistan",6.5,3/21/23 16:47,7,5,green,0,1350,us,134,2.53,13,mww,187.589,36.5227,70.9787,"Jurm, Afghanistan",Asia,Afghanistan,2023,3,Yellow,7-Jun
